Time,avg(displacement (0)),avg(displacement (1))
0.001998,-2.49047e-13,2.82038e-13
0.001996,-2.32534e-13,3.10743e-13
0.001994,-2.13825e-13,3.35247e-13
0.001992,-1.92951e-13,3.55253e-13
0.00199,-1.69941e-13,3.70568e-13
0.001988,-1.44838e-13,3.811e-13
0.001986,-1.17708e-13,3.8685e-13
0.001984,-8.86535e-14,3.87912e-13
0.001982,-5.78232e-14,3.84454e-13
0.00198,-2.54241e-14,3.76717e-13
0.001978,8.27301e-15,3.64995e-13
0.001976,4.29285e-14,3.49625e-13
0.001974,7.81329e-14,3.30975e-13
0.001972,1.1341e-13,3.09429e-13
0.00197,1.48224e-13,2.85377e-13
0.001968,1.81989e-13,2.59207e-13
0.001966,2.14081e-13,2.31294e-13
0.001964,2.43858e-13,2.01994e-13
0.001962,2.70675e-13,1.71645e-13
0.00196,2.93904e-13,1.40557e-13
0.001958,3.12958e-13,1.09018e-13
0.001956,3.27309e-13,7.72917e-14
0.001954,3.36508e-13,4.56213e-14
0.001952,3.40202e-13,1.42312e-14
0.00195,3.38152e-13,-1.66692e-14
0.001948,3.30245e-13,-4.68829e-14
0.001946,3.16499e-13,-7.62232e-14
0.001944,2.97074e-13,-1.04512e-13
0.001942,2.72265e-13,-1.31577e-13
0.00194,2.42505e-13,-1.57256e-13
0.001938,2.08353e-13,-1.81393e-13
0.001936,1.70481e-13,-2.03841e-13
0.001934,1.2966e-13,-2.24466e-13
0.001932,8.67401e-14,-2.43148e-13
0.00193,4.26273e-14,-2.59779e-13
0.001928,-1.7383e-15,-2.74271e-13
0.001926,-4.54082e-14,-2.86553e-13
0.001924,-8.74508e-14,-2.96572e-13
0.001922,-1.26976e-13,-3.04294e-13
0.00192,-1.63158e-13,-3.09699e-13
0.001918,-1.95257e-13,-3.12785e-13
0.001916,-2.2264e-13,-3.13562e-13
0.001914,-2.44793e-13,-3.12048e-13
0.001912,-2.61339e-13,-3.08275e-13
0.00191,-2.72041e-13,-3.02279e-13
0.001908,-2.76811e-13,-2.94106e-13
0.001906,-2.7571e-13,-2.83807e-13
0.001904,-2.68943e-13,-2.71447e-13
0.001902,-2.56855e-13,-2.571e-13
0.0019,-2.39918e-13,-2.40861e-13
0.001898,-2.18718e-13,-2.22843e-13
0.001896,-1.93937e-13,-2.03187e-13
0.001894,-1.66333e-13,-1.82067e-13
0.001892,-1.36719e-13,-1.59689e-13
0.00189,-1.05938e-13,-1.363e-13
0.001888,-7.48409e-14,-1.12183e-13
0.001886,-4.42589e-14,-8.76615e-14
0.001884,-1.49813e-14,-6.30908e-14
0.001882,1.22672e-14,-3.88536e-14
0.00188,3.68475e-14,-1.53502e-14
0.001878,5.82236e-14,7.01269e-15
0.001876,7.59768e-14,2.78359e-14
0.001874,8.98162e-14,4.67425e-14
0.001872,9.95843e-14,6.33928e-14
0.00187,1.05258e-13,7.75e-14
0.001868,1.06945e-13,8.88431e-14
0.001866,1.04877e-13,9.72785e-14
0.001864,9.93957e-14,1.02748e-13
0.001862,9.09377e-14,1.05286e-13
0.00186,8.00159e-14,1.05016e-13
0.001858,6.71983e-14,1.0215e-13
0.001856,5.30853e-14,9.69824e-14
0.001854,3.82876e-14,8.98725e-14
0.001852,2.34037e-14,8.12348e-14
0.00185,8.99891e-15,7.15183e-14
0.001848,-4.41323e-15,6.11879e-14
0.001846,-1.63872e-14,5.07034e-14
0.001844,-2.65583e-14,4.04998e-14
0.001842,-3.46526e-14,3.09692e-14
0.00184,-4.04939e-14,2.24443e-14
0.001838,-4.4006e-14,1.51856e-14
0.001836,-4.52125e-14,9.37255e-15
0.001834,-4.42338e-14,5.09854e-15
0.001832,-4.1281e-14,2.37123e-15
0.00183,-3.66482e-14,1.11628e-15
0.001828,-3.07014e-14,1.18509e-15
0.001826,-2.38663e-14,2.36621e-15
0.001824,-1.66152e-14,4.39938e-15
0.001822,-9.45078e-15,6.99107e-15
0.00182,-2.89086e-15,9.83072e-15
0.001818,2.54942e-15,1.26069e-14
0.001816,6.37544e-15,1.50225e-14
0.001814,8.13175e-15,1.68076e-14
0.001812,7.4204e-15,1.77311e-14
0.00181,3.91874e-15,1.7608e-14
0.001808,-2.60331e-15,1.63038e-14
0.001806,-1.22675e-14,1.37364e-14
0.001804,-2.50746e-14,9.87488e-15
0.001802,-4.08941e-14,4.73561e-15
0.0018,-5.94586e-14,-1.62434e-15
0.001798,-8.03626e-14,-9.11443e-15
0.001796,-1.03066e-13,-1.76189e-14
0.001794,-1.26904e-13,-2.70051e-14
0.001792,-1.51103e-13,-3.71312e-14
0.00179,-1.74801e-13,-4.78526e-14
0.001788,-1.97075e-13,-5.9028e-14
0.001786,-2.16974e-13,-7.05213e-14
0.001784,-2.33549e-13,-8.22031e-14
0.001782,-2.45895e-13,-9.395e-14
0.00178,-2.53189e-13,-1.05641e-13
0.001778,-2.54725e-13,-1.17156e-13
0.001776,-2.49951e-13,-1.28365e-13
0.001774,-2.38497e-13,-1.39128e-13
0.001772,-2.20207e-13,-1.49284e-13
0.00177,-1.9515e-13,-1.5865e-13
0.001768,-1.63635e-13,-1.67012e-13
0.001766,-1.26211e-13,-1.74125e-13
0.001764,-8.36608e-14,-1.79714e-13
0.001762,-3.69828e-14,-1.83469e-13
0.00176,1.2632e-14,-1.85057e-13
0.001758,6.38339e-14,-1.84123e-13
0.001756,1.15154e-13,-1.80305e-13
0.001754,1.65048e-13,-1.73241e-13
0.001752,2.11949e-13,-1.6259e-13
0.00175,2.54314e-13,-1.48043e-13
0.001748,2.90678e-13,-1.29345e-13
0.001746,3.19703e-13,-1.06313e-13
