Time,avg(displacement (0)),avg(displacement (1))
0.001998,6.4004e-14,5.27239e-14
0.001996,5.88596e-14,5.42358e-14
0.001994,5.43745e-14,5.54126e-14
0.001992,5.04495e-14,5.60754e-14
0.00199,4.69557e-14,5.60353e-14
0.001988,4.37399e-14,5.51042e-14
0.001986,4.06306e-14,5.31046e-14
0.001984,3.74453e-14,4.98795e-14
0.001982,3.39977e-14,4.53011e-14
0.00198,3.01063e-14,3.92787e-14
0.001978,2.5602e-14,3.17644e-14
0.001976,2.03349e-14,2.2758e-14
0.001974,1.41818e-14,1.23104e-14
0.001972,7.05092e-15,5.23672e-16
0.00197,-1.11326e-15,-1.24484e-14
0.001968,-1.03273e-14,-2.64025e-14
0.001966,-2.05677e-14,-4.10889e-14
0.001964,-3.1771e-14,-5.62168e-14
0.001962,-4.38356e-14,-7.14592e-14
0.00196,-5.66249e-14,-8.64605e-14
0.001958,-6.99724e-14,-1.00845e-13
0.001956,-8.36867e-14,-1.14226e-13
0.001954,-9.75586e-14,-1.26214e-13
0.001952,-1.11368e-13,-1.36432e-13
0.00195,-1.2489e-13,-1.4452e-13
0.001948,-1.37905e-13,-1.50153e-13
0.001946,-1.50205e-13,-1.53049e-13
0.001944,-1.61597e-13,-1.5298e-13
0.001942,-1.71914e-13,-1.49783e-13
0.00194,-1.81015e-13,-1.4337e-13
0.001938,-1.88791e-13,-1.33731e-13
0.001936,-1.95167e-13,-1.20943e-13
0.001934,-2.00099e-13,-1.05169e-13
0.001932,-2.03578e-13,-8.66573e-14
0.00193,-2.05625e-13,-6.57405e-14
0.001928,-2.06284e-13,-4.2824e-14
0.001926,-2.05624e-13,-1.83784e-14
0.001924,-2.03725e-13,7.07419e-15
0.001922,-2.00681e-13,3.29757e-14
0.00192,-1.96584e-13,5.87485e-14
0.001918,-1.91526e-13,8.38139e-14
0.001916,-1.85592e-13,1.0761e-13
0.001914,-1.78852e-13,1.2961e-13
0.001912,-1.71366e-13,1.49336e-13
0.00191,-1.63176e-13,1.66378e-13
